Product Name,Active Quantity,Minimum Quantity,Unit of Measurement,Date of Expiry,Storage Location,Category,UPC,Notes
"Rice Pilaf, Dry,package","6","28","consequat","2023-06-18 12:00:00 AM","Pantry","BakingIngredients","","pede ullamcorper augue a"
"Sambuca - Opal Nera","3","3","sed","2024-11-16 12:00:00 AM","Pantry","CondimentsAndSauces","",""
"Celery Root","11","15","tortor","2023-12-16 12:00:00 AM","Freezer","Dairy","","montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem"
"Milk - Skim","2","6","justo","2023-03-19 12:00:00 AM","Freezer","FatsAndOils","871762759352","in felis donec semper sapien a libero nam dui proin leo odio porttitor id"
"Olives - Morracan Dired","21","30","nisl","2023-07-31 12:00:00 AM","Freezer","SweetsAndSnacks","",""
"Skirt - 29 Foot","8","25","primis","2023-08-08 12:00:00 AM","Freezer","Beverages","",""
"Artichoke - Fresh","4","30","pharetra","2023-08-05 12:00:00 AM","Freezer","GrainsAndCereals","833422387865","non sodales"
"Pastry - Plain Baked Croissant","10","50","croissants","2024-02-28 12:00:00 AM","Pantry","Seafood","694821402441","I really like pastries!"
"Mayonnaise","18","27","lacinia","2024-01-17 12:00:00 AM","Freezer","SpicesAndHerbs","",""
"Campari","5","26","turpis","2023-09-06 12:00:00 AM","Freezer","Vegetables","",""
"Nougat - Paste / Cream","6","25","erat","2023-11-10 12:00:00 AM","Freezer","BakingIngredients","",""
"Squid - U - 10 Thailand","3","29","non","2024-12-04 12:00:00 AM","Pantry","Seafood","",""
"Longos - Assorted Sandwich","9","30","porta","2023-02-25 12:00:00 AM","Freezer","CondimentsAndSauces","950414213916",""
"artificial flavor","0","3","bottles","9999-12-31 12:00:00 AM","Pantry","Beverages","",""
